"","positives","additional_info.androguard.RiskIndicator.PERM.DANGEROUS","additional_info.androguard.RiskIndicator.PERM.NORMAL","additional_info.androguard.RiskIndicator.PERM.PRIVACY","additional_info.androguard.RiskIndicator.PERM.SMS","additional_info.androguard.RiskIndicator.PERM.MONEY"
"1","low","low","low","low","low","low"
"2","low","medium","medium","low","low","low"
"3","very low","low","high","high","high","high"
"4","very high","low","medium","low","low","low"
"5","low","low","low","low","low","low"
"6","very low","low","high","high","high","high"
"7","very low","low","low","low","low","low"
"8","low","medium","medium","low","low","low"
"9","low","medium","medium","low","low","low"
"10","high","low","low","low","low","low"
"11","high","medium","high","high","high","high"
"12","low","medium","medium","low","low","low"
"13","very low","high","high","high","high","low"
"14","very low","low","medium","low","low","low"
"15","low","low","low","low","low","low"
"16","high","high","high","high","high","high"
"17","very low","medium","high","high","high","high"
"18","very high","low","medium","medium","high","high"
"19","low","low","low","low","low","low"
"20","low","low","low","low","low","low"
"21","low","low","low","low","low","low"
"22","high","medium","medium","low","low","low"
"23","high","low","low","low","low","low"
"24","low","low","low","low","low","low"
"25","low","high","low","high","high","low"
"26","high","low","low","low","low","low"
"27","very low","low","low","low","low","low"
"28","high","low","low","low","low","low"
"29","low","low","low","low","low","low"
"30","very high","low","low","low","low","low"
"31","very low","low","medium","low","low","low"
"32","very high","low","low","low","low","low"
"33","very high","low","medium","medium","high","high"
"34","very low","low","high","high","low","low"
"35","very high","low","low","low","low","low"
"36","high","low","low","low","low","low"
"37","low","low","low","low","low","low"
"38","low","medium","high","high","high","high"
"39","very low","low","low","low","low","low"
"40","very high","medium","high","high","high","high"
"41","high","low","high","medium","low","low"
"42","high","low","low","low","low","low"
"43","low","medium","high","high","high","high"
"44","high","low","low","low","low","low"
"45","very high","high","medium","high","high","high"
"46","low","medium","medium","low","low","low"
"47","low","low","low","low","low","low"
"48","low","medium","medium","low","low","low"
"49","very low","high","high","high","high","low"
"50","very low","low","low","low","low","low"
"51","very high","low","medium","medium","high","high"
"52","high","low","low","low","low","low"
"53","low","medium","high","high","high","high"
"54","low","low","low","low","low","low"
"55","very low","high","high","high","high","low"
"56","very high","high","high","high","high","low"
"57","high","low","low","low","low","low"
"58","very low","high","high","high","high","low"
"59","very high","low","low","low","low","low"
"60","very high","medium","high","high","high","high"
"61","high","low","low","low","low","low"
"62","high","low","low","low","low","low"
"63","very low","low","low","low","low","low"
"64","very low","low","low","low","low","low"
"65","very high","low","low","low","low","low"
"66","low","medium","medium","low","low","low"
"67","very low","low","low","low","low","low"
"68","low","low","high","medium","low","low"
"69","very low","low","low","low","low","low"
"70","high","medium","high","high","high","high"
"71","high","low","low","low","low","low"
"72","very low","low","low","low","low","low"
"73","very high","low","low","low","low","low"
"74","very low","medium","medium","low","low","low"
"75","low","high","low","high","low","high"
"76","very low","low","low","low","low","low"
"77","low","medium","medium","low","low","low"
"78","very low","high","high","high","low","low"
"79","very low","low","low","low","low","low"
"80","very high","low","low","low","low","low"
"81","very low","low","medium","low","low","low"
"82","very low","low","low","medium","low","low"
"83","very low","low","low","low","low","low"
"84","low","medium","medium","low","low","low"
"85","very low","low","high","low","low","low"
"86","low","low","low","low","low","low"
"87","high","low","low","low","low","low"
"88","very high","high","high","high","high","low"
"89","very high","low","low","low","low","low"
"90","very low","high","high","high","high","low"
"91","very high","low","low","low","low","low"
"92","high","low","low","low","low","low"
"93","high","low","low","low","low","low"
"94","very high","low","low","low","low","low"
"95","very high","low","medium","medium","high","high"
"96","very high","low","low","low","low","low"
"97","very low","low","low","low","low","low"
"98","low","low","low","low","low","low"
"99","very low","low","low","medium","low","low"
"100","low","medium","medium","low","low","low"
"101","low","low","low","low","low","low"
"102","high","low","low","low","low","low"
"103","very low","low","medium","medium","low","low"
"104","very low","low","low","low","low","low"
"105","high","high","high","high","high","high"
"106","very low","medium","medium","low","low","low"
"107","high","medium","medium","low","low","low"
"108","very low","high","high","high","high","low"
"109","low","low","low","low","low","low"
"110","low","medium","high","high","high","high"
"111","low","low","low","low","low","low"
"112","very low","low","low","low","low","low"
"113","low","medium","medium","low","low","low"
"114","very low","low","low","medium","low","low"
"115","high","low","low","low","low","low"
"116","high","low","low","low","low","low"
"117","high","low","low","low","low","low"
"118","very low","low","low","low","low","low"
"119","very low","high","high","high","high","low"
"120","high","low","low","low","low","low"
"121","very low","medium","medium","low","low","low"
"122","very high","low","low","low","low","low"
"123","low","low","low","low","low","low"
"124","very low","medium","high","high","low","low"
"125","very high","medium","high","high","high","high"
"126","very low","medium","medium","low","low","low"
"127","low","medium","medium","low","low","low"
"128","low","medium","medium","low","low","low"
"129","high","medium","medium","low","low","low"
"130","low","medium","medium","low","low","low"
"131","very low","high","high","high","high","low"
"132","very low","low","low","low","low","low"
"133","low","low","low","low","low","low"
"134","low","medium","medium","low","low","low"
"135","high","medium","high","high","high","high"
"136","very high","low","low","low","low","low"
"137","very low","low","low","low","low","low"
"138","very high","medium","high","high","high","high"
"139","very low","medium","medium","low","low","low"
"140","low","low","low","low","low","low"
"141","low","medium","medium","low","low","low"
"142","very high","low","low","low","low","low"
"143","low","low","low","low","low","low"
"144","high","low","medium","medium","high","high"
"145","low","low","low","low","low","low"
"146","very high","low","low","low","low","low"
"147","low","medium","medium","low","low","low"
"148","low","medium","medium","low","low","low"
"149","high","low","low","low","low","low"
"150","very high","low","medium","medium","high","high"
"151","very high","low","low","low","low","low"
"152","low","high","high","high","high","low"
"153","low","medium","medium","low","low","low"
"154","very low","low","low","low","low","low"
"155","low","low","low","low","low","low"
"156","very high","medium","high","high","high","high"
"157","low","medium","medium","low","low","low"
"158","low","low","medium","low","low","low"
"159","high","medium","medium","low","low","low"
"160","very high","high","high","high","high","low"
"161","very high","medium","high","high","high","high"
"162","very low","low","medium","low","low","low"
"163","low","low","low","low","low","low"
"164","high","medium","high","high","high","high"
"165","low","low","low","low","low","low"
"166","very high","low","medium","medium","high","high"
"167","very high","low","medium","medium","high","high"
"168","high","low","low","low","low","low"
"169","low","medium","medium","low","low","low"
"170","very high","low","low","low","low","low"
"171","very high","low","medium","medium","high","high"
"172","high","medium","medium","low","low","low"
"173","low","medium","medium","low","low","low"
"174","high","low","low","low","low","low"
"175","very low","high","high","high","high","low"
"176","very high","low","medium","medium","high","high"
"177","low","low","low","low","low","low"
"178","low","low","low","low","low","low"
"179","very high","low","medium","medium","high","high"
"180","very low","low","low","low","low","low"
"181","very low","low","low","medium","low","low"
"182","very high","low","medium","medium","high","high"
"183","low","low","low","medium","low","low"
